식품명,식품대분류,식품상세분류,1회제공량,내용량_단위,에너지(㎉),탄수화물(g),총당류(g),지방(g),리놀레산(18:2(n-6)c)(g),알파 리놀렌산(18:3(n-3))(g),EPA+DHA(g),단백질(g),수분(g),총 식이섬유(g),비타민 A(㎍),비타민 D3(㎍),비타민 E(㎎),비타민 C(㎎),비타민 B1(㎎),비타민 B2(㎎),나이아신(㎎),엽산(DFE)(㎍),비타민 B12(㎍),칼슘(㎎),인(㎎),나트륨(㎎),칼륨(㎎),마그네슘(㎎),철(㎎),철(㎍),아연(㎎),구리(㎎),망간(㎎),셀레늄(㎍)
오리고기구이,구이류,육류구이,200.0,g,586.08,9.77,0.0,39.39,5.39,0.3,0.07,48.12,97.62,4.32,67.34,0.0,4.55,0.0,0.49,1.11,0.0,6.69,5.17,16.74,456.89,1416.66,669.41,49.85,5.47,0.0,5.11,0.79,0.22,127.78
오리불고기,구이류,육류구이,250.0,g,361.52,22.62,15.73,22.62,4.48,0.19,0.03,16.87,183.4,9.09,1756.21,0.0,5.05,6.54,4.19,0.5,21.99,65.12,1.01,35.91,234.9,1168.55,755.99,51.04,2.38,0.0,1.8,0.41,0.48,33.26
장어고추장구이,구이류,육류구이,100.0,g,258.89,6.18,0.44,17.21,0.77,0.1,0.06,19.82,54.96,1.99,759.94,2.4,18.07,1.68,0.88,0.41,0.0,20.09,3.38,164.77,248.81,321.94,261.69,24.27,0.72,0.0,2.53,0.02,0.12,40.51
조기구이,구이류,어패류구이,180.0,g,318.2,0.79,0.0,19.54,5.51,0.69,1.93,34.8,117.53,0.75,201.12,0.0,6.93,0.0,0.17,0.32,0.0,8.67,7.61,218.18,409.28,2456.07,481.41,77.88,0.86,0.0,1.31,0.09,0.07,88.6
조미김,구이류,어패류구이,5.0,g,23.5,1.45,0.01,1.51,0.16,0.84,0.0,1.02,0.11,1.2,119.02,0.0,0.2,3.49,0.0,0.0,0.0,26.15,1.4,18.54,14.54,200.55,60.69,9.61,0.59,0.0,0.09,0.01,0.04,3.81
쥐포구이,구이류,어패류구이,70.0,g,238.58,37.42,23.15,0.25,0.25,0.02,0.0,21.67,5.97,2.56,0.0,1.56,0.4,0.65,0.0,0.04,3.13,6.12,2.44,264.75,168.06,1473.69,26.89,30.65,0.93,0.0,0.84,0.03,0.34,67.49
참치머리구이,구이류,어패류구이,180.0,g,346.8,2.52,0.0,16.16,0.22,0.07,5.069999999999999,47.81,109.89,11.41,36.27,18.51,2.19,2.13,0.0,0.22,7.79,23.07,7.29,27.22,438.43,825.88,615.35,53.24,5.18,0.0,5.51,0.16,0.05,366.88
치킨데리야끼,구이류,육류구이,340.0,g,707.64,51.71,0.39,30.65,8.04,0.61,0.02,56.23,197.13,4.75,120.13,0.0,5.7,72.98,0.33,0.4,41.45,41.9,0.48,54.98,413.93,906.15,792.79,68.96,1.81,0.0,3.88,0.19,0.56,44.29
키조개구이,구이류,어패류구이,180.0,g,234.13,18.79,6.48,3.72,0.13,0.02,0.09,31.38,121.75,7.09,359.15000000000003,0.0,3.25,22.39,0.35,0.06,0.0,21.93,26.63,32.43,268.37,817.83,637.05,85.79,3.44,0.0,21.68,0.04,0.27,122.75
표고버섯구이,구이류,채소류구이,80.0,g,79.6,14.51,1.12,0.85,1.67,0.19,0.0,3.47,59.46,8.91,0.0,0.0,2.73,0.0,0.15,0.21,0.05,28.68,0.0,2.04,109.42,348.04,351.21,17.58,0.54,0.0,1.75,0.09,0.2,4.53
함박스테이크,구이류,육류구이,200.0,g,347.37,14.38,0.11,21.45,2.07,0.15,0.05,24.2,137.97,2.51,222.94,0.0,1.84,4.98,0.27,0.47,4.04,25.16,0.41,28.45,252.59,395.28,466.76,33.26,1.07,0.0,1.97,0.07,0.16,21.72
